會計項目,資產總計,負債總計,權益總計,營業活動之淨現金流入,營業收入合計,營業成本合計,每股盈餘,繼續營業單位稅前淨利,所得稅費用,不動產、廠房及設備合計,流動資產合計,流動負債合計,營業利益,存貨合計,利息費用,應收帳款淨額,本期淨利,流動比率,速動比率,利息保障倍數,負債比,稅後淨利率,存貨週轉率,ROA,ROE,毛利率,股票代碼,股票名稱,股票類別
2016Q1,278830039.0,124079771.0,154750268.0,5608258.0,17724112.0,16138503.0,0.06,277847.0,183320.0,110936901.0,78482102.0,64818835.0,483889.0,8485209.0,504825.0,5702299.0,94527.0,121.08,107.99,1.55,44.5,0.53,1.85,0.09,0.06,8.95,1101,台泥,水泥工業
2016Q1,255693050.0,109582703.0,146110347.0,3170445.0,13038960.0,12040729.0,0.06,282550.0,88091.0,65759665.0,48453008.0,58894214.0,406252.0,7034327.0,418599.0,9642303.0,194459.0,82.27,70.33,1.67,42.86,1.49,1.68,0.18,0.13,7.66,1102,亞泥,水泥工業
2016Q1,26816477.0,12832144.0,13984333.0,-94066.0,541218.0,544548.0,-0.29,-191528.0,-2543.0,2266830.0,10270628.0,1515478.0,-91274.0,1195874.0,49469.0,79231.0,-188985.0,677.72,598.8,-2.87,47.85,-34.92,0.45,-0.52,-1.35,-0.62,1103,嘉泥,水泥工業
2016Q1,20216450.0,3853003.0,16363447.0,-134848.0,1105803.0,990332.0,0.55,342879.0,-104.0,5569962.0,2976457.0,2470844.0,31658.0,297115.0,4186.0,522652.0,342983.0,120.46,108.44,82.91,19.06,31.02,3.12,1.73,2.12,10.44,1104,環泥,水泥工業
2016Q1,7741112.0,2795732.0,4945380.0,-91538.0,995636.0,804827.0,0.26,126794.0,21416.0,2092281.0,5199696.0,2034747.0,133019.0,3598001.0,7511.0,373753.0,104371.0,255.55,78.72,17.88,36.12,10.48,0.23,1.42,2.13,19.16,1108,幸福,水泥工業
2016Q1,8502711.0,2148910.0,6353801.0,45729.0,875999.0,807187.0,-0.03,-26578.0,6626.0,4030285.0,2318190.0,969912.0,-26416.0,791727.0,6863.0,195622.0,-33204.0,239.01,157.38,-2.87,25.27,-3.79,1.01,-0.29,-0.52,7.86,1109,信大,水泥工業
2016Q1,9490267.0,573627.0,8916640.0,-110493.0,383670.0,347147.0,0.21,197272.0,-19341.0,269053.0,2088707.0,253395.0,15784.0,548952.0,53.0,51569.0,216613.0,824.29,607.65,3723.11,6.04,56.46,0.63,2.3,2.47,9.52,1110,東泥,水泥工業
2016Q1,36064319.0,27673476.0,8390843.0,-2278301.0,3518095.0,2674670.0,-0.21,-159429.0,-26606.0,12205602.0,21407304.0,22909717.0,-531354.0,1660500.0,140907.0,2317132.0,-82461.0,93.44,86.19,-0.13,76.73,-2.34,1.64,0.1,-0.98,23.97,1201,味全,食品工業
2016Q1,8251735.0,2976484.0,5275251.0,126386.0,1547878.0,1191232.0,0.37,141653.0,18692.0,2854359.0,3428134.0,1325255.0,145828.0,1442106.0,2336.0,351936.0,122961.0,258.68,149.86,61.64,36.07,7.94,0.77,1.51,2.36,23.04,1203,味王,食品工業
2016Q1,38630622.0,18868055.0,19762567.0,1156253.0,17743529.0,15327265.0,0.73,678616.0,81345.0,11934180.0,19608669.0,15760007.0,707467.0,5718678.0,91548.0,4242645.0,597271.0,124.42,88.13,8.41,48.84,3.37,2.43,1.72,3.06,13.62,1210,大成,食品工業
